name,issn
Nature,0028-0836
Science,0036-8075
The Lancet,0140-6736
New England Journal of Medicine,0028-4793
JAMA,0098-7484
BMJ,0959-8138
PNAS,0027-8424
Cell,0092-8674
Nature Medicine,1078-8956
Nature Climate Change,1758-678X
Nature Ecology & Evolution,2397-334X
Ecology Letters,1461-023X
Conservation Biology,0888-8892
Journal of Applied Ecology,1365-2664
Biological Conservation,0006-3207
Global Change Biology,1354-1013
Trends in Ecology & Evolution,0169-5347
BioScience,0006-3568
Environmental Science & Technology,0013-936X
Science of the Total Environment,0048-9697
